City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Paris,211.5761021530432,Weekday,Entire home/apt,False,False,4.0,False,0,0,9.0,94.0,1,4.154874529697581,0.3090245800930123,232.6537036874225,11.325503895808922,514.805501437143,30.249732856390647
Paris,146.5653835399385,Weekday,Private room,False,True,2.0,False,0,0,9.0,100.0,1,3.3911808816899787,0.0209856424382063,207.1279359683427,10.08291812492278,520.0725535249105,30.559222397879388
Paris,292.8977537515146,Weekday,Entire home/apt,False,False,2.0,False,0,1,9.0,91.0,1,2.330840119162579,0.3467863248777569,350.8425777021332,17.078898455533007,907.0013331199374,53.29497829894161
Paris,281.71311399012023,Weekday,Private room,False,True,2.0,True,1,0,10.0,98.0,1,4.460986526728483,0.1743625581453721,167.353695843274,8.146721518766375,389.8048228489775,22.90475087075963
Paris,367.2290054991146,Weekday,Entire home/apt,False,False,4.0,False,0,1,10.0,94.0,1,3.2196050501749984,0.154223035589286,215.6041462166395,10.495537183494726,547.2019884150446,32.15333542829657
Paris,158.91508994314475,Weekday,Entire home/apt,False,False,2.0,False,0,0,9.0,90.0,1,3.03431128287774,0.500635830856231,217.1725270974383,10.571885436258686,534.336156750374,31.39734511788786
Paris,218.10047534718987,Weekday,Entire home/apt,False,False,2.0,True,0,0,10.0,97.0,1,4.223760648942076,0.3322090936217992,225.9735890028997,11.000318164032825,501.5679723127597,29.47190177538349
Paris,367.2290054991146,Weekday,Entire home/apt,False,False,4.0,False,1,0,9.0,79.0,1,3.355155195357544,0.1424409742994056,209.8886737490574,10.217309909773965,524.106892244767,30.79627827274313
Paris,188.5077826451673,Weekday,Private room,False,True,2.0,False,0,0,9.0,88.0,1,3.27415240866199,0.3733165440081217,207.95593387645656,10.12322478407085,516.172097702351,30.330033420059223
Paris,149.59455680864946,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,96.0,0,2.858876674578873,0.3821799130606466,245.07227514558824,11.930035769579565,600.6955741323559,35.29659375199705
Paris,197.59530245130023,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,100.0,1,3.4784312391848777,0.18515310398289,206.63925155922243,10.05912913256378,504.993160088614,29.6731642228774
Paris,199.2263957498369,Weekday,Private room,False,True,2.0,False,0,0,8.0,80.0,1,4.2702561519412985,0.3689424684370626,180.65878363514508,8.794408708923331,428.3605277497222,25.17026623545852
Paris,289.6355671544412,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,89.0,1,3.74743231985794,0.0925256314040788,185.6670098222212,9.038207472037064,458.1821386124778,26.922570279271724
Paris,578.1060676670705,Weekday,Entire home/apt,False,False,5.0,False,1,0,9.0,87.0,1,3.181542626354508,0.1159066798288439,217.0071726010852,10.563836035097411,557.503839750146,32.758667441927194
Paris,176.15807624196106,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,95.0,1,3.224744003603312,0.3511986570803812,210.5813632088286,10.251029799252985,532.5375150370882,31.291657763771845
Paris,316.19908658775284,Weekday,Entire home/apt,False,False,4.0,False,0,0,9.0,80.0,1,3.3886343219095707,0.1759079666359756,216.13500551484128,10.521379235242108,525.7136847393963,30.890692655616864
